Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
kflibSettingRecoilCSMName,UI,Menu,x,,Sensitivity Multiplier,,,,,,,,,,,,,靈敏度倍率
kflibSettingRecoilCSMDesc,UI,Menu,x,,How much sensitivity compensation should be applied when dragging your mouse against the recoil while aiming. Easier recoil control for low zoom sensitivity users.,,,,,,,,,,,,,指示在瞄準狀態下抵消後坐力時要應用多少靈敏度補正。幫助低瞄準靈敏度的用戶更好地控制後坐力。
kflibSettingEnablePreRecoilCompensationName,UI,Menu,x,,Enable Pre-Recoil Compensation,,,,,,,,,,,,,啟用後坐力提前補償
kflibSettingEnablePreRecoilCompensationDesc,UI,Menu,x,,Allow mouse movement to negate incoming recoil before it takes effect.,,,,,,,,,,,,,允許在後坐力生效之前用法鼠標移動將其抵消。
kflibCategoryRecoilCappingName,UI,Menu,x,,Recoil Cap Settings,,,,,,,,,,,,,後坐力上限設定
kflibSettingEnableCapName,UI,Menu,x,,Enable Recoil Cap,,,,,,,,,,,,,啟用後坐力上限
kflibSettingEnableCapDesc,UI,Menu,x,,Allow capping vertical recoil at certain angle threshold.,,,,,,,,,,,,,允許用法垂直後坐力角上限。
kflibSettingRecoilRemainName,UI,Menu,x,,Recoil Multiplier,,,,,,,,,,,,,過量後坐力倍率
kflibSettingRecoilRemainDesc,UI,Menu,x,,Recoil multiplier after reaching the cap.,,,,,,,,,,,,,達到後坐力上限後的後坐力倍率。
kflibSettingEnableSoftCapName,UI,Menu,x,,Enable Soft Cap,,,,,,,,,,,,,啟用平滑後坐力過渡
kflibSettingEnableSoftCapDesc,UI,Menu,x,,"Lerp towards recoil multiplier before reaching cap, resulting in a much smoother recoil pattern.",,,,,,,,,,,,,在達到上限之前就開始逐步降低後坐力，使後坐力表現更加平滑。
kflibSettingMaxRecoilAngleName,UI,Menu,x,,Max Recoil Angle,,,,,,,,,,,,,後坐力角上限
kflibSettingMaxRecoilAngleDesc,UI,Menu,x,,A fixed max angle to trigger recoil cap. Only works when dynamic recoil is off.,,,,,,,,,,,,,設定固定角的上限。僅在動態上限停用時生效。
kflibSettingEnableDynamicCapName,UI,Menu,x,,Enable Dynamic Recoil Cap,,,,,,,,,,,,,啟用動態上限
kflibSettingEnableDynamicCapDesc,UI,Menu,x,,Trigger recoil cap after certain shots.,,,,,,,,,,,,,設定基於射擊次數的上限。
kflibSettingMaxDynamicRecoilCapShotsName,UI,Menu,x,,Max Shots Before Capping,,,,,,,,,,,,,最大射擊次數
kflibSettingMaxDynamicRecoilCapShotsDesc,UI,Menu,x,,"Trigger recoil cap after certain shots. This is a rough value, and the actual cap angle is calculated by the max random kick angle per shot.",,,,,,,,,,,,,在射擊指定次數後觸發器後坐力上限。上限角是根據最大隨機角計算的，所以實際射擊次數不一定與設定完全一致。
kflibTabCameraAnimationSettingsName,UI,Menu,x,,Camera Animation,,,,,,,,,,,,,攝像頭動畫
kflibCategoryCAIDefaultSettingsName,UI,Menu,x,,Default Settings,,,,,,,,,,,,,預設設定
kflibSettingCAIMultiplierName,UI,Menu,x,,Intensity Multiplier,,,,,,,,,,,,,動畫強度
kflibSettingCAIMultiplierDesc,UI,Menu,x,,The default intensity multiplier for all camera animations. This is overridden by the weapon intensity if enabled.,,,,,,,,,,,,,該設定會影響所有物品攝像頭動畫強度，但是會被武器設定覆蓋。
kflibCategoryWeaponOverrideName,UI,Menu,x,,Weapon Settings,,,,,,,,,,,,,武器設定
kflibSettingCurrentWeaponName,UI,Menu,x,,Current Weapon,,,,,,,,,,,,,當前武器
kflibSettingEnableOverrideName,UI,Menu,x,,Enable Override,,,,,,,,,,,,,啟用設定
kflibSettingEnableOverrideDesc,UI,Menu,x,,Enable intensity override for this weapon.,,,,,,,,,,,,,爲當前武器啟用動畫強度設定。
kflibSettingDefaultWeightDesc,UI,Menu,x,,The overall intensity multiplier for this weapon. This is multiplied by the tag multipliers.,,,,,,,,,,,,,該設定會影響當前武器的所有物品攝像頭動畫強度，並與各個分類的動畫強度相乘來計算對應動畫的強度。
kflibTabMiscSettingsName,UI,Menu,x,,Misc,,,,,,,,,,,,,雜項工具
kflibCategoryAutoInspect,UI,Menu,x,,Auto Inspect,,,,,,,,,,,,,自動檢視
kflibSettingEnableAutoInspectName,UI,Menu,x,,Enable Auto Inspect,,,,,,,,,,,,,啟用自動檢視
kflibSettingEnableAutoInspectDesc,UI,Menu,x,,Automatically triggers inspect animation after idling for specified interval on supported weapons.,,,,,,,,,,,,,待機一段時間後自動觸發器檢視動畫。
kflibSettingAutoInspectIntervalName,UI,Menu,x,,Auto Inspect Interval,,,,,,,,,,,,,自動檢視延遲
kflibSettingAutoInspectIntervalDesc,UI,Menu,x,,The interval after which inspect animation is triggered.,,,,,,,,,,,,,自動觸發器檢視動畫的待機時間。
quartzSettingGeneral,UI,Menu,x,,General,,,,,,,,,,,,,一般
quartzSettingMinimapIconsOnlyShowTooltip,UI,Menu,x,,Show or Hide minimap only icons,,,,,,,,,,,,,僅顯示或隱藏小地圖圖示
quartzSettingMinimapRotateWithPlayer,UI,Menu,x,,Rotate With View,,,,,,,,,,,,,隨視圖旋轉
quartzSettingMinimapRotateWithPlayerTooltip,UI,Menu,x,,Rotates the minimap to follow the player's view,,,,,,,,,,,,,旋轉小地圖以跟隨玩家的視角
quartzSettingMinimapIconScale,UI,Menu,x,,Minimap Icons Scale,,,,,,,,,,,,,小地圖圖示比例
quartzSettingMinimapIconScaleTooltip,UI,Menu,x,,Adjusts the scale of the icons on the minimap,,,,,,,,,,,,,調整小地圖上圖示的比例
quartzSettingMinimapIconOpacity,UI,Menu,x,,Minimap Icon Opacity,,,,,,,,,,,,,小地圖圖示不透明度
quartzSettingMinimapIconOpacityTooltip,UI,Menu,x,,Adjusts the opacity of the icons on the minimap,,,,,,,,,,,,,調整小地圖上圖示的不透明度
quartzSettingMinimapTextureOpacity,UI,Menu,x,,Minimap Texture Opacity,,,,,,,,,,,,,小地圖紋理不透明度
quartzSettingMinimapTextureOpacityTooltip,UI,Menu,x,,Adjusts the minimap texture opacity,,,,,,,,,,,,,調整小地圖紋理不透明度
quartzUiSpriteWindowHeader,UI,Menu,x,,UIAtlas Sprites,,,,,,,,,,,,,調整小地圖上圖示的不透明度
quartzXuiExport,UI,Menu,x,,Export Sprites,,,,,,,,,,,,,小地圖紋理不透明度
quartzXuiExplorer,UI,Menu,x,,Open Export Folder,,,,,,,,,,,,,調整小地圖紋理不透明度
quartzTooltipShowModSprites,UI,Menu,x,,Switch to show modded UIAtlas sprites,,,,,,,,,,,,,UIAtlas 精靈
quartzMaxLevel,UI,,x,,Max Level,,,,,,,,,,,,,最高等級
musicbox_turnOn,,,,,Turn On,,,,,,,,,,,,,打開
musicbox_turnOff,,,,,Turn Off,,,,,,,,,,,,,關閉
BanditFactionSchematic,,,,,Master of disguse,,,,,,,,,,,,,偽裝大師
UndeadFactionSchematic,,,,,Master of disguse,,,,,,,,,,,,,偽裝大師
DukeRiverFactionSchematic,,,,,Master of disguse,,,,,,,,,,,,,偽裝大師
WhiteRiverFactionSchematic,,,,,Master of disguse,,,,,,,,,,,,,偽裝大師
ResetFactionSchematic,,,,,Master of disguse,,,,,,,,,,,,,偽裝大師
ResetFactionSchematicDesc,,,,,Read this to reset your faction!,,,,,,,,,,,,,閱讀本文以重置您的派系！
BanditFactionSchematicDesc,,,,,Read this to switch over to the bandit faction!,,,,,,,,,,,,,閱讀本文即可切換到強盜派系！
UndeadFactionSchematicDesc,,,,,Read this to switch over to the undead faction!,,,,,,,,,,,,,閱讀這篇文章即可切換到不死派！
WhiteRiverFactionSchematicDesc,,,,,Read this to switch over to the White River faction!,,,,,,,,,,,,,閱讀本文即可切換到白河派系！
DukeRiverFactionSchematicDesc,,,,,Read this to switch over to the Duke faction!,,,,,,,,,,,,,閱讀本文即可切換到公爵陣營！
UndeadPositiveFactionSchematic,,,,,Peace and Love to the Undead,,,,,,,,,,,,,對不死者的和平與愛
UndeadPositiveFactionSchematicDesc,,,,,Read this to spread the message of the undead! Increase your standings with the undead!,,,,,,,,,,,,,閱讀本文以傳播不死族的信息！提高你在不死族的排名！
UndeadNegativeFactionSchematic,,,,,Undead: Unreliable! Untrustworthy!,,,,,,,,,,,,,亡靈：不靠譜！不值得信賴！
UndeadNegativeFactionSchematicDesc,,,,,Read this to spread lies and fake news about the undead! Decrease your standings with the undead!,,,,,,,,,,,,,閱讀本文以傳播有關不死族的謊言和假新聞！降低你在不死族的排名！
advancedlockpicking_title,,,,,Advanced Lock Picking By sphereii and xyth.,,,,,,,,,,,,,高級開鎖 由 sphereii 和 xyth 提供。
advancedlockpicking_desc,,,,,"Use the arrow keys to change the position of the pick locks. Then space to try to unlock. Alternatively, you can use a joystick or mouse scroll to rotate, and a click to try to turn.",,,,,,,,,,,,,使用箭頭鍵變更撬鎖的位置。然後空間嘗試解鎖。或者，您可以使用操縱桿或滑鼠滾動來旋轉，然後點擊來嘗試轉動。
SpawnCube,,,,,Spawn Cube,,,,,,,,,,,,,產生立方體
SpawnCubeDesc,,,,,"Allows Prefab builders to set up specific spawn entities via in-game programmable code:  Sign Text:  ec=npcBaker;task=wander;pc=99. Entity Class zombie Bow, with Task Wander, and PathingCode 99.",,,,,,,,,,,,,允許預製件建構者透過遊戲內可程式碼設定特定的生成實體：簽名文字：ec=npcBaker;task=wander;pc=99。實體類殭屍弓，帶有任務漫遊和 PathingCode 99。
loadingTipScoreSigns_title,,,,,(SCore) Enhanced Signs,,,,,,,,,,,,,（分數）增強標誌
loadingTipScoreSigns,,,,,"Enter a URL for an image or mp4, like an imgur link, in a sign's edit box to display the image on the sign! Re-Edit to change it.",,,,,,,,,,,,,在標誌的編輯框中輸入圖像或 mp4 的 URL（如 imgur 連結），即可在標誌上顯示圖片！重新編輯以更改它。
teleportto,,,,,Teleport To,,,,,,,,,,,,,傳送到
portal_not_configured,,,,,Not Configured,,,,,,,,,,,,,未設定
portal_configure,,,,,Not Connected,,,,,,,,,,,,,未連線
xuiPortalDenied,,,,,Access Denied.,,,,,,,,,,,,,拒絕存取。
ObjectiveEntityAliveSDXKill_keyword,,,,,Kill {0}:,,,,,,,,,,,,,殺死{0}：
teleporttoNeedPower,,,,,Needs Power,,,,,,,,,,,,,需要電源
ObjectiveBlockDestroy_keyword,,,,,Destroy {0}:,,,,,,,,,,,,,摧毀{0}：
xuiSCoreGameOptions,,,,,SCore,,,,,,,,,,,,,分數
goCustomAdvancedPlayerFeaturesAntiNerdPole,,,,,Disable Nerd-Poling,,,,,,,,,,,,,禁用書呆子投票
goCustomAdvancedPlayerFeaturesAntiNerdPoleDesc,,,,,Disables placing blocks when jumping.,,,,,,,,,,,,,跳躍時禁用放置方塊。
goCustomAdvancedPlayerFeaturesVehicleNoTake,,,,,Disable Vehicle Pickup,,,,,,,,,,,,,禁用車輛接送
goCustomAdvancedPlayerFeaturesVehicleNoTakeDesc,,,,,Disables picking up vehicles,,,,,,,,,,,,,禁止拾取車輛
goCustomFoodSpoilageFoodSpoilage,,,,,Food Spoilage,,,,,,,,,,,,,食物變質
goCustomFoodSpoilageFoodSpoilageDesc,,,,,Food Spoilage requires an additional modlet that would enable food spoilage on items.,,,,,,,,,,,,,食物腐敗需要一個額外的模組來使物品上的食物腐敗。
goCustomAdvancedPlayerFeaturesOneBlockCrouch,,,,,Allow One Block Crouch,,,,,,,,,,,,,允許蹲下一格
goCustomAdvancedPlayerFeaturesOneBlockCrouchDesc,,,,,Allows the player to crouch in 1 block openings.,,,,,,,,,,,,,允許玩家蹲伏在 1 格開口處。
goCustomAdvancedPlayerFeaturesSoftHands,,,,,Soft Hands,,,,,,,,,,,,,柔軟的手
goCustomAdvancedPlayerFeaturesSoftHandsDesc,,,,,"If enabled, player will take damage when punching with bare hands",,,,,,,,,,,,,如果啟用，玩家徒手拳擊時會受到傷害
goCustomAdvancedPlayerFeaturesExtendedSigns,,,,,Allow enhanced signs,,,,,,,,,,,,,允許增強標誌
goCustomAdvancedPlayerFeaturesExtendedSignsDesc,,,,,"If enabled, allows players to place imgur links in signs to display pictures.",,,,,,,,,,,,,如果啟用，允許玩家將 imgur 連結放置在標誌中以顯示圖片。
goCustomAdvancedZombieFeaturesHeadshotOnly,,,,,Head Shot only,,,,,,,,,,,,,僅爆頭
goCustomAdvancedZombieFeaturesHeadshotOnlyDesc,,,,,Allow zombies to only get hurt if hit in the head.,,,,,,,,,,,,,只允許殭屍在頭部被擊中時受傷。
goCustomAdvancedZombieFeaturesRandomSize,,,,,Random Size Zombies,,,,,,,,,,,,,隨機大小的殭屍
goCustomAdvancedZombieFeaturesRandomSizeDesc,,,,,Allow zombies to be random size,,,,,,,,,,,,,允許殭屍的大小是隨機的
goCustomAdvancedZombieFeaturesRandomWalk,,,,,Random Walk types,,,,,,,,,,,,,隨機遊走類型
goCustomAdvancedZombieFeaturesRandomWalkDesc,,,,,Allow zombies to have random walk types,,,,,,,,,,,,,允許殭屍具有隨機行走類型
goCustomErrorHandlingNoExceptionHijack,,,,,Hide Null Refs,,,,,,,,,,,,,隱藏空引用
goCustomErrorHandlingNoExceptionHijackDesc,,,,,"DEBUG ONLY! If enabled, blocks null refs from dropping the console.",,,,,,,,,,,,,僅調試！如果啟用，將阻止空白引用刪除控制台。
goCustomSCoreAdvanced,,,,,Debug Only,,,,,,,,,,,,,僅調試
xuiSCoreDebugGameOptions,,,,,SCore Debug,,,,,,,,,,,,,分數調試
goCustomThemeSpook,,,,,Enable Spook Theme,,,,,,,,,,,,,啟用 Spook 主題
goCustomThemeSpookDesc,,,,,Enabled perpetual blood moon effects,,,,,,,,,,,,,啟用永久血月效果
goCustomCaveConfigurationCaveEnabled,,,,,Enable Caves,,,,,,,,,,,,,啟用洞穴
goCustomCaveConfigurationCaveEnabledDesc,,,,,Enable support for caves,,,,,,,,,,,,,啟用對洞穴的支援
goCustomCropManagementCropEnable,,,,,Enable Advanced Water,,,,,,,,,,,,,啟用高級水
goCustomCropManagementCropEnableDesc,,,,,"Enables plants requiring water, allows pipes, etc",,,,,,,,,,,,,啟用需要水的植物、允許管道等
goCustomFireManagementFireEnable,,,,,Enable Fire Spreading,,,,,,,,,,,,,啟用火勢蔓延
goCustomFireManagementFireEnableDesc,,,,,Enable fire to ignore and spread to other blocks,,,,,,,,,,,,,使火能夠忽略並蔓延到其他方塊
goCustomFireManagementCheckInterval,,,,,Fire Burn Interval,,,,,,,,,,,,,火災燃燒間隔
goCustomFireManagementCheckIntervalDesc,,,,,"How fast, in seconds, the fire will spread.",,,,,,,,,,,,,火勢蔓延的速度（以秒為單位）。
goCustomFireManagementFireDamage,,,,,Fire Damage,,,,,,,,,,,,,火災損失
goCustomFireManagementFireDamage,,,,,"How much damage, per Check Interval, blocks take from damage.",,,,,,,,,,,,,每個檢查間隔，方塊會受到多少傷害。
goCustomFireManagementSmokeTime,,,,,Smoke Time,,,,,,,,,,,,,煙霧時間
goCustomFireManagementSmokeTimeDesc,,,,,How long smoke lasts on extinguished block.,,,,,,,,,,,,,煙霧在熄滅的方塊上持續多久。
goCustomCaveConfigurationCaveType,,,,,Cave Type,,,,,,,,,,,,,洞穴類型
goCustomCaveConfigurationCaveTypeDesc,,,,,Decide what type of cave system to generate.,,,,,,,,,,,,,決定產生什麼類型的洞穴系統。
goCustomAdvancedTroubleshootingFeaturesVerboseXMLParser,,,,,Verbose XML Parser,,,,,,,,,,,,,詳細 XML 解析器
goCustomAdvancedTroubleshootingFeaturesVerboseXMLParserDesc,,,,,Enables very verbose XML troubleshooting for some XML files.,,,,,,,,,,,,,對某些 XML 檔案啟用非常詳細的 XML 故障排除。
goCustomAdvancedTroubleshootingFeaturesPhysicsBody,,,,,Verbose Physics Body,,,,,,,,,,,,,詳細物理體
goCustomAdvancedTroubleshootingFeaturesPhysicsBodyDesc,,,,,Enables Physics Body troubleshooting for models,,,,,,,,,,,,,啟用模型的物理體故障排除
goCustomAdvancedTroubleshootingFeaturesAnimatorMapper,,,,,Animator Mapper,,,,,,,,,,,,,動畫映射器
goCustomAdvancedTroubleshootingFeaturesAnimatorMapperDesc,,,,,Animator Mapper,,,,,,,,,,,,,動畫映射器
goCustomAdvancedTroubleshootingFeaturesComponentMapper,,,,,Component Mapper,,,,,,,,,,,,,元件映射器
goCustomAdvancedTroubleshootingFeaturesComponentMapperDesc,,,,,Shows Component Map of Entities,,,,,,,,,,,,,顯示實體的元件圖
goCustomAdvancedUIDisableXPIconNotification,,,,,Disable XP Icon Notification,,,,,,,,,,,,,停用 XP 圖示通知
goCustomAdvancedUIDisableXPIconNotificationDesc,,,,,Disables the XP pop up from the UI,,,,,,,,,,,,,停用 XP 從 UI 彈出視窗
blockcommand_search,,,,,Open,,,,,,,,,,,,,開啟
npcHasItems,,,,,NPC has items in their inventory.,,,,,,,,,,,,,NPC 的庫存中有物品。
xuiSCoreUtilities,,,,,SCore Utilities,,,,,,,,,,,,,分數實用程式
xuiSCoreNPCSettings,,,,,NPC Settings,,,,,,,,,,,,,NPC設定
xuiQuietNPC,,,,,Mute NPC Footsteps,,,,,,,,,,,,,消除 NPC 腳步聲
xuiScoreUtilsNPCFootStep,,,,,Mute NPC Footsteps,,,,,,,,,,,,,消除 NPC 腳步聲
xuiScoreUtilsNPCFootStepToolTip,,,,,Mutes NPC Footsteps,,,,,,,,,,,,,消除 NPC 腳步聲
xuiQuietNPCToolTip,,,,,Mutes NPC Footsteps,,,,,,,,,,,,,消除 NPC 腳步聲
xuiLockPickingSettings,,,,,Lock Pick Settings,,,,,,,,,,,,,開鎖設定
xuiNPCSettings,,,,,NPC Settings,,,,,,,,,,,,,NPC設定
xuiLockPicking,,,,,Enable Vanilla Lockpick,,,,,,,,,,,,,啟用香草開鎖
xuiLockPickingToolTip,,,,,"Disables the Locking Mini-Game, if installed",,,,,,,,,,,,,停用鎖定迷你遊戲（如果已安裝）
entityaliveSDXEnemy,,,,,You are my sworn enemy! The time to talk is past!,,,,,,,,,,,,,你是我的死敵！說話的時間已經過去了！
entityaliveSDXEnemyNearby,,,,,I can't talk right now. There's enemies nearby! Be Vigilant!,,,,,,,,,,,,,我現在不能說話。附近有敵人！警惕！
xuiSCoreFollow,,,,,Follow Me,,,,,,,,,,,,,跟著我
xuiSCoreStayHere,,,,,Stay Here,,,,,,,,,,,,,留在這裡
xuiSCoreStayThere,,,,,Stay There,,,,,,,,,,,,,待在那裡
xuiSCoreCompanions,,,,,Companions,,,,,,,,,,,,,同伴
xuiSCoreDismiss,,,,,Dismiss,,,,,,,,,,,,,解僱
xuiSCoreOutOfRange,,,,,NPC Out of Range.,,,,,,,,,,,,,NPC 超出範圍。
xuiSCoreDismissing,,,,,Dismissing NPC,,,,,,,,,,,,,解散 NPC
xuiSCoreTeleport,,,,,Come Here!,,,,,,,,,,,,,來這裡！
xuiSCoreGuarding,,,,,"I'm Guarding, I cannot come.",,,,,,,,,,,,,我在守衛，我不能來。
xuiSCoreTeleportCoolDown,,,,,My Teleport is on Cooldown.,,,,,,,,,,,,,我的傳送正在冷卻。
xuiSCoreUtilsMiniGameLockPick,,,,,Force Lockpick MiniGame,,,,,,,,,,,,,強力開鎖小遊戲
xuiSCoreUtilsMiniGameLockPickToolTip,,,,,"Force Lockpick MiniGame, even if you have a controller.",,,,,,,,,,,,,即使您有控制器，也可以強制開鎖迷你遊戲。
xuiTraderSettings,,,,,Trader Settings,,,,,,,,,,,,,交易者設定
xuiSCoreUtilsTraderRektToolTip,,,,,Mutes Trader Rekt,,,,,,,,,,,,,靜音 Trader Rekt
xuiSCoreUtilsTraderRekt,,,,,Mute Trader Rekt,,,,,,,,,,,,,靜音交易者 Rekt
xuiSCoreUtilsTraderAll,,,,,Mute All Traders.,,,,,,,,,,,,,將所有交易者靜音。
xuiSCoreUtilsTraderAllToolTip,,,,,Mutes All the Traders.,,,,,,,,,,,,,讓所有交易者靜音。
xuiSCoreUtilsDisableFlickeringLights,,,,,Disable Flickering Lights,,,,,,,,,,,,,停用閃爍的燈光
xuiSCoreUtilsDisableFlickeringLightsToolTip,,,,,Disables Flickering Lights.,,,,,,,,,,,,,停用閃爍的燈光。
xuiPersonalSettings,,,,,Personal Settings,,,,,,,,,,,,,個人設定
xuiSCoreUtilsAutoRedeemChallenges,,,,,Auto Redeem Challenges,,,,,,,,,,,,,自動兌換挑戰
xuiSCoreUtilsAutoRedeemChallengesToolTip,,,,,Auto Redeem Challenges as they complete.,,,,,,,,,,,,,完成挑戰後自動兌換。
ObjectiveBuffSDX_keyword,,,,,Get,,,,,,,,,,,,,取得
ItemCannotBePlaced,,,,,This item cannot go into this slot.,,,,,,,,,,,,,該物品不能進入該插槽。
npcNoStorage,,,,,NPCs Cannot Be Placed In Storage.,,,,,,,,,,,,,NPC 無法放入倉庫。
buffFreshnessSCoreName,,,,,Fresh Food,,,,,,,,,,,,,生鮮食品
buffFreshnessSCore,,,,,Fresh Food!,,,,,,,,,,,,,新鮮食物！
buffFreshnessSCoreDesc,,,,,Warm food and drink warms the soul!,,,,,,,,,,,,,溫暖的食物和飲料溫暖心靈！
TooDamagedToSharpen,,,,,This item is too worn out to be resharpened.,,,,,,,,,,,,,這件物品太舊了，無法重新打磨。
NotDamagedEnoughToSharpen,,,,,This item is still in pretty good shape.,,,,,,,,,,,,,這件物品的形狀仍然非常好。
xuiSCoreUtilsWeaponSway,,,,,Disable Weapon Sway,,,,,,,,,,,,,禁用武器搖擺
xuiSCoreUtilsWeaponSwayToolTip,,,,,Toggles weapon and camera bob and sway to help against motion sickness,,,,,,,,,,,,,切換武器和相機的擺動和搖擺以幫助防止暈動病
xuiSCoreUtilsMemoryBudget,,,,,Run GFX st budget 0 on game load,,,,,,,,,,,,,在遊戲加載時運行 GFX st 預算 0
xuiSCoreUtilsMemoryBudgetToolTip,,,,,Automatically sets the GFX st budget 0 when you enter a game. Effective on next game start.,,,,,,,,,,,,,當您進入遊戲時，自動將 GFX st 預算設置為 0。下一場比賽開始時生效。
xuiSCoreUtilsPPEnable,,,,,Run GFX pp enable 0 on game load,,,,,,,,,,,,,在遊戲載入時執行 GFX pp enable 0
xuiSCoreUtilsPPEnableToolTip,,,,,Automatically sets the GFX pp enable 0  when you enter a game. Effective on next game start.,,,,,,,,,,,,,進入遊戲時自動將 GFX pp 啟用 0。下一場比賽開始時生效。
xuiCraftFromContainersSCore,,,,,Enemies are nearby! Remote repairing is disabled!,,,,,,,,,,,,,敵人就在附近！遠端修復已停用！
ChallengeObjectiveCompleteQuestStealth,,,,,Clear a quest with stealth only.,,,,,,,,,,,,,僅透過潛行完成任務。
challengeObjectiveKillWithItem,,,,,Kill [] Zombies,,,,,,,,,,,,,殺死 [] 個殭屍
challengeObjectiveStealthKillStreak,,,,,Kill [] Zombies in a kill streak,,,,,,,,,,,,,[]連殺殺死 <​​0> 個殭屍
challengeObjectiveDecapitation,,,,,Decapacitate [] zombies.,,,,,,,,,,,,,斬首 [] 個殭屍。
challengeObjectiveWith,,,,,with a,,,,,,,,,,,,,附
perceptionChallenges_key,,,,,Perception Challenges,,,,,,,,,,,,,感知挑戰
strengthChallenges_key,,,,,Strength Challenges,,,,,,,,,,,,,力量挑戰
fortitudeChallenges_key,,,,,Fortitude Challenges,,,,,,,,,,,,,毅力挑戰
agilityChallenges_key,,,,,Agility Challenges,,,,,,,,,,,,,敏捷性挑戰
intellectChallenges_key,,,,,Intellect Challenges,,,,,,,,,,,,,智力挑戰
bonusChallenges_key,,,,,Bonus Challenge Group,,,,,,,,,,,,,獎金挑戰組
